id,thread_id,answer_id,body,score,creation_date,owner_id,owner_reputation,is_accepted
1,5,79275038,"<p><strong>Don't worry, Trust me this is the perfect solution(with older version support you will get Java Projects Option)</strong></p>
<p><strong>100% working</strong></p>
<p>step 1: click on Extension tab from where you install extensions.</p>
<p>step 2: install &quot;<strong>Extension Pack for Java</strong>&quot;. if already installed go for next step.</p>
<p>step 3: Inside the &quot;<strong>Extension Pack for Java</strong>&quot;, there is another extension come with this which is &quot;<strong>Project Manager for Java</strong>&quot;. which is automatically installed. just click on setting icon beside it. and click on &quot;<strong>install specific version</strong>&quot;</p>
<p>step 4: choose second or third version which is stable. install it. after that restart extension kind of option will come. click on that.</p>
<p>step 5: reload the project or restart the VSCODE IDE.</p>
<p>step 6: Like this comment.</p>
<p><a href=""https://i.sstatic.net/QSi1gwln.png"" rel=""nofollow noreferrer"">enter image description here</a></p>
",0,2024-12-12 12:06:00.000000 +00:00,28750901,1,0
2,5,77206377,"<p>It has been a while, have you tried opening the Explorer box and checking the Java Project tag, I have the same problem and it takes a few hours to realize.</p>
<p><img src=""https://i.sstatic.net/yjhvN.png"" alt=""Java project check box"" /></p>
",0,2023-09-30 09:13:15.000000 +00:00,22661160,1,0
3,5,77813533,"<p>The only solution that work for me was create a new visual studio code profile and try to install the extension again.</p>
<p>[create a new profile steps][1]
[1]: https://i.sstatic.net/dphv6.png</p>
<p>I'm not sure that the order of extensions installation affect.</p>
",0,2024-01-14 00:03:56.000000 +00:00,23241576,1,0
4,5,76532184,"<p>Open Command Palette and type 'Explorer: Focus on Java Projects View' (can refer screenshot below)</p>
<p>hope it helps! :)</p>
<p><a href=""https://i.sstatic.net/4883p.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/4883p.png"" alt=""enter image description here"" /></a></p>
",0,2023-06-22 12:58:40.000000 +00:00,11250492,180,0
5,5,74650813,"<p>I have struggled quite a bit with this and none of the 'obvious' solutions worked.</p>
<p>The way I ended up solving the issue is by creating a new Java Project and looking at the difference in the config of the files.</p>
<p>Especially in the <code>.project</code> file, there were missing entries. Some also in the <code>.settings/*.prefs</code> files
After updating those in my own project, it got detected properly.</p>
",1,2022-12-02 04:09:04.000000 +00:00,2494262,20708,0
6,5,72935058,"<p>Anyway, you can try the following 2 steps:</p>
<ol>
<li>open a <code>.java</code> file</li>
<li>reboot your vscode</li>
</ol>
",2,2022-07-11 07:28:22.000000 +00:00,7208148,295,0
7,5,71334580,"<p>As for the 3 dots, here's what I think: different versions may be slightly different, you see, there are no three points in this one <a href=""https://i.sstatic.net/SrQqx.png"" rel=""nofollow noreferrer"">enter image description here</a>. So you may update it when you are free.</p>
<p>As for the project view, you may have to open a project before it appears, Steven-MSFT has said it in detail, you can see it first. If you still have questions, you can provide some details again.</p>
",0,2022-03-03 09:09:42.000000 +00:00,18283743,119,0
8,5,71046229,"<p>Have you tried to open a java file? Because the extension activated depends on the opened filename extension.</p>
<p>You can refer to <a href=""https://stackoverflow.com/questions/62275468/java-dependency-viewer-not-appearing-in-the-explorer-window-of-visual-studio-cod"">here</a>.</p>
<p>If it still does not work, could you provide the OS and the versions of the
VSCode and extensions?</p>
",8,2022-02-09 08:31:40.000000 +00:00,13037676,8351,0
9,6,40561327,"<p>In the ThymeleafProperties class that the default prefix for views is <code>classpath:/templates/</code> and the default suffix is <code>.html</code>. So change your <code>html</code> to <code>src/main/resources/templates/login.html</code>, as shown in the following image </p>

<p><img src=""https://i.sstatic.net/CH2wy.jpg"" alt=""Image depicting the file naming notation""></p>
",-1,2016-11-12 09:12:54.000000 +00:00,7149261,1,0
10,6,29495128,"<p>Just remove the suffix code from config. </p>

<pre><code>resolver.setSuffix("".html"");
</code></pre>
",0,2015-04-07 15:18:33.000000 +00:00,565129,138,0
11,6,28700157,"<p>Maybe you have a conflict with the resolvers of thymeleaf and springSecurity. You have set your loginPage configuration as 'login' and thymeleaf is expecting 'login.html'. Have you tried to change .loginPage(""/login"") for .loginPage(""/login.html"") ?</p>
",0,2015-02-24 15:47:09.000000 +00:00,3632201,21,0
12,10,79229334,"<p>You may use this regex in Java:</p>
<pre class=""lang-bash prettyprint-override""><code>(?i)\(((\w+\.)?\w*\hin\h*\(\h*:something\h*\))
</code></pre>
<p>Or in Java:</p>
<pre class=""lang-bash prettyprint-override""><code>final Pattern p = Pattern.compile(
   &quot;(?i)\\(((\\w+\\.)?\\w*\\hin\\h*\\(\\h*:something\\h*\\))&quot; );
</code></pre>
<p>PS: Make sure to use <code>Matcher#find()</code> instead of <code>Matcher#matches()</code> that attempts to match complete input.</p>
<p><a href=""https://regex101.com/r/7ONdI1/1"" rel=""nofollow noreferrer"">RegEx Demo</a></p>
<p><strong>RegEx Details:</strong></p>
<ul>
<li><code>(?i)</code>: Turn on ignore case mode</li>
<li><code>\(</code>: Match literal <code>(</code></li>
<li><code>(</code>: Start capture group #1
<ul>
<li><code>(\w+\.)?</code>: capture group #2 that is an optional match to match 1+ word characters and then a literal <code>.</code></li>
<li><code>\w*</code>: Match 0 or more word characters</li>
<li><code>\h</code>: Match a horizontal whitespace</li>
<li><code>in</code>: Match text <code>in</code></li>
<li><code>\h*</code>: Match 0 or more horizontal whitespaces</li>
<li><code>\(</code>: Match literal <code>(</code></li>
<li><code>\h*</code>: Match 0 or more horizontal whitespaces</li>
<li><code>:something</code>: Match text <code>:something</code></li>
<li><code>\h*</code>: Match 0 or more horizontal whitespaces</li>
<li><code>\)</code>: Match literal <code>)</code></li>
</ul>
</li>
<li><code>)</code>: End capture group #1</li>
</ul>
",4,2024-11-27 07:41:10.000000 +00:00,548225,783252,1
13,10,79229240,"<p>Try:</p>
<pre><code>(?&lt;=\()[\w.]+\h+in\h+\(:something\)
</code></pre>
<p>See: <a href=""https://regex101.com/r/k33EOe/latest"" rel=""nofollow noreferrer"">regex101</a></p>
<hr />
<p>Explanation:</p>
<ul>
<li><code>(?&lt;= ... )</code>: asserts that to the left of the string there is a
<ul>
<li><code>\(</code>: literal opening parenthesis</li>
</ul>
</li>
</ul>
<p>After this match (capture group 0) what you want:</p>
<ul>
<li><code>[\w.]+</code>: Any number or wordcharacters and dots</li>
<li><code>\h+</code>: followed by some amount of horizontal whitespaces</li>
<li><code>in</code>: a literal &quot;in&quot;</li>
<li><code>\h+</code>: more horizontal whitespaces</li>
<li><code>\(:something\)</code>: and literal &quot;(:something)&quot;</li>
</ul>
",-1,2024-11-27 07:01:57.000000 +00:00,13840270,1792,0
14,11,44451782,"<p>From the documentation at <a href=""https://docs.spring.io/spring-boot/reference/features/logging.html#features.logging.console-output"" rel=""nofollow noreferrer"">https://docs.spring.io/spring-boot/reference/features/logging.html#features.logging.console-output</a> :</p>
<blockquote>
<p>you can also specify <code>debug=true</code> in your <code>application.properties</code>.</p>
<p>When the debug mode is enabled, a selection of core loggers (embedded container, Hibernate, and Spring Boot) are configured to output more information.</p>
</blockquote>
",5,2017-06-09 07:26:05.000000 +00:00,4501804,15257,1
41,27,23604221,"<p>In my case, I needed to specify a <code>viahost</code> and <code>viauser</code>. Worth trying if you're in a complex system. :)</p>
",-1,2014-05-12 08:25:18.000000 +00:00,1064572,7606,0
15,15,68064764,"<blockquote>
<p>also manually checked the file in sandbox/system/logs/idea.log and the INFO statements are there.... they are just not getting to my IDE console.</p>
</blockquote>
<p>This is expected. The console prints the <strong>standard error/output</strong> stream. And the logger writes logs into the idea.log file.</p>
",1,2021-06-21 08:28:36.000000 +00:00,2000323,16261,1
16,16,79274898,"<p>Unfortunately, files stored in <code>Android/data/&lt;package_name&gt;/file_folder</code> cannot be completely hidden from the user, especially on devices where the user has access to this directory via a file explorer or a computer connection. However, you can achieve better security by storing sensitive files in the <em><strong>application's internal storage</strong></em>, which is <em><strong>private</strong></em> to your app and inaccessible to normal users <em><strong>unless the device is rooted.</strong></em></p>
<p>The internal storage path is:<br/>
<code>/data/data/&lt;package_name&gt;/files/</code></p>
<p>Here’s how you can save and read files in the internal storage:<br/><br/>
<em><strong>Writing Files:</strong></em> Use FileOutputStream to write data to internal storage.</p>
<pre><code>String filename = &quot;myfile.txt&quot;;
String fileContents = &quot;Hello, World!&quot;;
try {
    FileOutputStream fos = openFileOutput(filename, Context.MODE_PRIVATE)
    fos.write(fileContents.getBytes());
} catch (IOException e) {
    e.printStackTrace();
}
</code></pre>
<p><em><strong>Reading Files:</strong></em> Use openFileInput to read data from internal storage.</p>
<pre><code>FileInputStream fis = openFileInput(&quot;myfile.txt&quot;);
StringBuilder stringBuilder = new StringBuilder();
BufferedReader reader = new BufferedReader(new InputStreamReader(fis));
String line;
while ((line = reader.readLine()) != null) {
    stringBuilder.append(line);
}
String content = stringBuilder.toString();
</code></pre>
<h3>Why Use Internal Storage?</h3>
<ol>
<li>Files stored here are private to your app by default.</li>
<li>They are not visible in file explorers or accessible without root access.</li>
<li>No additional permissions are required to use this storage.</li>
</ol>
<p>For larger files, consider using the getFilesDir() method or caching data with getCacheDir() for temporary storage. Avoid relying on external storage for sensitive information.</p>
",0,2024-12-12 11:15:21.000000 +00:00,23153414,21,0
17,16,77714829,"<p>The package folder is always available to android users as it falls into the root folder <strong>storage/emulated/0/</strong>.
Folder <strong>Android</strong> and it's folders <strong>data, media, obb</strong> can be accessible to all apps and users when the request to have it e.g</p>
<pre><code>import android.os.Environment;
import java.io.File:

//File permissions enabled in Android manifest
final File imagePath = new File(Environment.getExternalStorageDirectory(), &quot;Android/data/your.app.package/files/img.jpg&quot;);

if(imagePath.exists()){
    //File exists and can be read
} else {
    //File doesn't exist or folder ain't present 
}
</code></pre>
<p>You may consider:</p>
<p><strong>ENCRYPTION OF FILES IN THAT FOLDER MAYBE</strong></p>
<p>Encrypt files in that folder with keys that your app has.</p>
",0,2023-12-25 19:57:37.000000 +00:00,23083229,41,0
18,17,79274856,"<p>I still have to find a satisfying explanation, but doing the following was good enough to get the results I was looking for:</p>
<pre><code>@Repository
public interface MyRepository {
    @Query(&quot;SELECT child &quot; +
        &quot; FROM ( &quot; +
        &quot;   SELECT child.id AS child_id, &quot; +
        &quot;     ROW_NUMBER() OVER (PARTITION BY child.field2, child.parent.field2 &quot; +
        &quot;       ORDER BY child.parent.field1 ASC) AS rowNum &quot; +
        &quot;   FROM ChildObject child &quot; +
        &quot;   WHERE child.field1 IN (?1) AND &quot; +
        &quot;         child.parent.field1 IN (?2) &quot; +
        &quot; ) AS sorted_children&quot; +
        &quot; INNER JOIN ChildObject child ON child.id = sorted_children.child_id&quot; +
        &quot; WHERE sorted_children.rowNum = 1&quot;)
    Set&lt;ChildObject&gt; findChildObjects(Set&lt;Long&gt; childField1, Set&lt;Long&gt; parentField1);
}
</code></pre>
<p>Basically, instead of returning the <code>child</code> object in the inner query, I'm just returning the <code>id</code>, so that I can later get the whole <code>ChildObject</code>.</p>
<p>It is not the most elegant nor the best performing query, but it gets the job done for my purposes and constraints.</p>
<p>I suppose my original query was returning some sort of projection of the <code>ChildObject</code> that wasn't suitable to rebuild the original <code>ChildObject</code> entity. Maybe because the <code>rowNum</code> field was among them as part of the <code>SELECT</code>? In any case, doing the <code>INNER JOIN</code> to re-query for <code>ChildObject</code> helped Hibernate to understand that the <code>ChildObject</code> entity was to be returned.</p>
",0,2024-12-12 11:02:02.000000 +00:00,1305745,4278,0
