id,answer_id,comment_id,body,creation_date,owner_id,owner_reputation
1,4,138558473,"",2024-06-07 15:29:59.000000 +00:00,921224,5138
2,5,138578147,"",2024-06-10 17:10:28.000000 +00:00,2494262,20708
3,5,138558277,"",2024-06-07 15:08:45.000000 +00:00,921224,5138
4,15,133312685,"",2023-02-24 21:57:10.000000 +00:00,2141091,3947
5,15,128517270,"",2022-06-26 08:02:34.000000 +00:00,2000323,16261
6,15,128501044,"",2022-06-25 01:48:33.000000 +00:00,5198805,1957
7,17,137193052,"",2024-01-15 16:44:16.000000 +00:00,23083229,41
8,17,137019019,"",2023-12-27 09:27:57.000000 +00:00,23153414,21
9,24,139359073,"",2024-09-29 11:33:37.000000 +00:00,1892584,1720
10,24,137435085,"",2024-02-07 20:28:22.000000 +00:00,396483,6605
11,26,105771597,"",2020-01-20 03:54:59.000000 +00:00,4425643,2178
12,26,105770179,"",2020-01-20 01:33:02.000000 +00:00,734744,1412
13,32,138112586,"",2024-04-17 11:56:41.000000 +00:00,8963778,361
14,33,128538762,"",2022-06-27 12:42:21.000000 +00:00,-1,1
15,37,91004712,"",2018-08-26 14:38:30.000000 +00:00,338011,2169
16,40,65372312,"",2016-08-18 05:12:04.000000 +00:00,207421,310511
17,40,16945706,"",2012-09-25 06:11:32.000000 +00:00,170365,67802
18,43,88697072,"",2018-06-13 21:49:18.000000 +00:00,414044,697
19,43,30260265,"",2013-11-29 10:22:04.000000 +00:00,151004,12571
20,44,62997681,"",2016-06-11 13:58:03.000000 +00:00,6453546,73
21,45,139786717,"",2024-12-11 14:11:36.000000 +00:00,1554195,3957
22,45,139785065,"",2024-12-11 09:07:37.000000 +00:00,971355,3059
23,49,23009532,"",2013-04-19 19:20:35.000000 +00:00,168212,19101
24,50,43251885,"",2014-12-10 14:36:34.000000 +00:00,361703,7521
25,50,43250479,"",2014-12-10 14:02:43.000000 +00:00,2114871,16105
26,50,43248117,"",2014-12-10 13:00:51.000000 +00:00,361703,7521
27,50,43244110,"",2014-12-10 11:04:53.000000 +00:00,2114871,16105
28,52,135529884,"",2023-08-10 19:08:46.000000 +00:00,21144042,2387
29,53,100653181,"",2019-07-16 19:14:15.000000 +00:00,234593,16627
30,53,100604719,"",2019-07-15 11:07:34.000000 +00:00,1163490,716
31,57,113552248,"",2020-10-05 19:20:05.000000 +00:00,1462295,4929
32,57,80712216,"",2017-10-23 05:33:30.000000 +00:00,224132,360348
33,57,80712075,"",2017-10-23 05:26:20.000000 +00:00,8178069,171
34,57,80686806,"",2017-10-22 01:58:30.000000 +00:00,224132,360348
35,58,13958263,"",2012-05-24 17:45:52.000000 +00:00,451590,2698
36,59,76187116,"",2017-06-17 00:05:19.000000 +00:00,299472,5867
37,59,60717770,"",2016-04-11 20:31:02.000000 +00:00,5140713,355
38,59,58757544,"",2016-02-21 09:33:57.000000 +00:00,2874409,1942
39,59,13962160,"",2012-05-24 20:41:28.000000 +00:00,451590,2698
40,59,13961711,"",2012-05-24 20:21:50.000000 +00:00,451590,2698
41,59,13961641,"",2012-05-24 20:18:54.000000 +00:00,1206223,796
42,59,13961576,"",2012-05-24 20:16:37.000000 +00:00,451590,2698
43,62,86432522,"",2018-04-07 16:33:32.000000 +00:00,3982755,9716
44,62,86432499,"",2018-04-07 16:32:34.000000 +00:00,9443618,2392
45,62,86432454,"",2018-04-07 16:30:44.000000 +00:00,3982755,9716
46,62,86432443,"",2018-04-07 16:30:04.000000 +00:00,9443618,2392
47,62,86432381,"",2018-04-07 16:26:52.000000 +00:00,3982755,9716
48,62,86432224,"",2018-04-07 16:18:45.000000 +00:00,9443618,2392
49,62,86432214,"",2018-04-07 16:18:18.000000 +00:00,9443618,2392
50,62,86432201,"",2018-04-07 16:17:23.000000 +00:00,3982755,9716
51,62,86431588,"",2018-04-07 15:43:47.000000 +00:00,5321363,4090
52,62,86431494,"",2018-04-07 15:37:54.000000 +00:00,9443618,2392
53,62,86431403,"",2018-04-07 15:33:23.000000 +00:00,5321363,4090
54,63,86432135,"",2018-04-07 16:13:32.000000 +00:00,1225882,5397
55,63,86431526,"",2018-04-07 15:39:46.000000 +00:00,5321363,4090
56,63,86431371,"",2018-04-07 15:31:36.000000 +00:00,3982755,9716
57,63,86431359,"",2018-04-07 15:30:42.000000 +00:00,5321363,4090
58,63,86431300,"",2018-04-07 15:27:40.000000 +00:00,3982755,9716
59,63,86431281,"",2018-04-07 15:26:33.000000 +00:00,5321363,4090
60,64,86435531,"",2018-04-07 19:09:23.000000 +00:00,3982755,9716
61,67,92817981,"",2018-10-23 17:57:11.000000 +00:00,10516589,41
62,68,92817942,"",2018-10-23 17:55:58.000000 +00:00,7529335,429
63,68,92817643,"",2018-10-23 17:46:24.000000 +00:00,10516589,41
64,69,128386289,"",2022-06-20 06:31:08.000000 +00:00,2164728,12699
65,69,128386005,"",2022-06-20 06:07:35.000000 +00:00,15693533,39
66,70,139790939,"",2024-12-12 08:36:00.000000 +00:00,12103702,15
67,73,137779279,"",2024-03-13 07:35:38.000000 +00:00,3894304,1019
68,76,41460474,"",2014-10-16 13:39:09.000000 +00:00,2652883,2569
69,77,41452972,"",2014-10-16 10:09:11.000000 +00:00,2652883,2569
70,77,41433391,"",2014-10-15 18:58:26.000000 +00:00,2652883,2569
71,77,41432056,"",2014-10-15 18:15:30.000000 +00:00,2728815,948
72,77,41431154,"",2014-10-15 17:45:46.000000 +00:00,2652883,2569
73,77,41430854,"",2014-10-15 17:36:17.000000 +00:00,3430807,5094
74,81,139790450,"",2024-12-12 06:19:45.000000 +00:00,1108305,20452
75,81,121365431,"",2021-08-05 22:48:59.000000 +00:00,256196,424100
76,81,121347399,"",2021-08-05 09:29:46.000000 +00:00,16375479,2917
77,81,121344340,"",2021-08-05 07:14:58.000000 +00:00,2513200,6573
78,81,121329475,"",2021-08-04 15:08:51.000000 +00:00,3151927,537
79,81,121329369,"",2021-08-04 15:05:18.000000 +00:00,16376827,4266
80,81,121328687,"",2021-08-04 14:41:49.000000 +00:00,2513200,6573
81,81,121328607,"",2021-08-04 14:38:26.000000 +00:00,256196,424100
82,81,121327917,"",2021-08-04 14:15:03.000000 +00:00,2513200,6573
83,82,121330811,"",2021-08-04 15:56:58.000000 +00:00,16375479,2917
84,82,121329809,"",2021-08-04 15:19:58.000000 +00:00,3151927,537
85,82,121327219,"",2021-08-04 13:48:07.000000 +00:00,2513200,6573
86,82,121327187,"",2021-08-04 13:47:03.000000 +00:00,16375479,2917
87,82,121327165,"",2021-08-04 13:46:16.000000 +00:00,2513200,6573
88,85,105978943,"",2020-01-27 09:38:16.000000 +00:00,2602913,1718
89,86,111356689,"",2020-07-18 16:13:49.000000 +00:00,59087,31151
90,86,68018693,"",2016-11-02 15:13:26.000000 +00:00,2165806,1774
91,86,54809765,"",2015-11-04 03:46:33.000000 +00:00,3560873,1462
92,92,56395045,"",2015-12-17 04:23:26.000000 +00:00,5658493,22
93,92,56327460,"",2015-12-15 15:27:08.000000 +00:00,5681412,1
94,95,139781733,"",2024-12-10 17:06:49.000000 +00:00,1108305,20452
95,95,139781722,"",2024-12-10 17:04:27.000000 +00:00,85421,29580
96,97,139781711,"",2024-12-10 17:02:53.000000 +00:00,1108305,20452
97,98,88269309,"",2018-05-31 17:24:30.000000 +00:00,386587,1209
98,98,51216874,"",2015-07-26 08:33:19.000000 +00:00,309962,14607
99,98,51176782,"",2015-07-24 14:50:53.000000 +00:00,3705127,27896
100,98,51165939,"",2015-07-24 10:21:59.000000 +00:00,1362755,42966
101,98,51160716,"",2015-07-24 07:59:03.000000 +00:00,4856258,99981
102,99,139781725,"",2024-12-10 17:05:02.000000 +00:00,1108305,20452
103,102,102516969,"",2019-09-23 10:09:59.000000 +00:00,1876620,34400
104,102,102508494,"",2019-09-23 04:03:34.000000 +00:00,7127824,3926
105,102,82017984,"",2017-11-28 11:47:07.000000 +00:00,3080638,345
106,102,51216871,"",2015-07-26 08:32:52.000000 +00:00,309962,14607
107,103,139781677,"",2024-12-10 16:57:22.000000 +00:00,1108305,20452
108,103,72603207,"",2017-03-12 01:52:06.000000 +00:00,7096763,3605
109,104,139781691,"",2024-12-10 16:58:48.000000 +00:00,1108305,20452
110,108,122157220,"",2021-09-09 10:52:10.000000 +00:00,8252019,1
111,108,121795543,"",2021-08-25 02:50:54.000000 +00:00,6670491,1193
112,110,139792188,"",2024-12-12 12:16:12.000000 +00:00,5669584,558
113,111,139783697,"",2024-12-11 01:26:34.000000 +00:00,3025856,7537
114,112,133566560,"",2023-03-12 13:42:18.000000 +00:00,21383262,1
115,115,107473776,"",2020-03-18 17:13:38.000000 +00:00,4917881,2183
116,115,59578573,"",2016-03-12 18:46:10.000000 +00:00,4917881,2183
117,118,131646884,"",2022-11-26 07:52:01.000000 +00:00,2425513,2400
118,118,105127903,"",2019-12-25 02:49:27.000000 +00:00,1970299,3753
119,118,94018715,"",2018-12-02 04:17:11.000000 +00:00,5408955,454
120,119,139787119,"",2024-12-11 15:19:54.000000 +00:00,13969814,158
121,121,139789975,"",2024-12-12 02:41:31.000000 +00:00,3289590,8516
122,121,113395866,"",2020-09-29 18:32:54.000000 +00:00,13160643,35
123,121,111943739,"",2020-08-07 17:18:20.000000 +00:00,13160643,35
124,121,111915904,"",2020-08-06 19:03:36.000000 +00:00,13160643,35
125,121,111897131,"",2020-08-06 08:20:24.000000 +00:00,1729265,95503
126,127,139787901,"",2024-12-11 17:40:00.000000 +00:00,527387,1867
127,130,28886686,"",2013-10-20 13:16:20.000000 +00:00,217019,15141
128,130,28886684,"",2013-10-20 13:16:10.000000 +00:00,129570,272099
129,130,28886670,"",2013-10-20 13:15:32.000000 +00:00,2344584,32968
130,132,87997896,"",2018-05-23 15:43:44.000000 +00:00,6744708,414
131,132,15253966,"",2012-07-18 08:48:20.000000 +00:00,872803,1264
132,132,15253702,"",2012-07-18 08:37:12.000000 +00:00,1520739,598
133,135,107664429,"",2020-03-25 16:09:37.000000 +00:00,1428436,95
134,138,8722614,"",2011-08-30 22:57:38.000000 +00:00,144746,30126
135,138,8714394,"",2011-08-30 14:47:25.000000 +00:00,722349,153
136,138,8714192,"",2011-08-30 14:37:38.000000 +00:00,40342,307710
137,138,8713599,"",2011-08-30 14:07:20.000000 +00:00,722349,153
138,142,109222609,"",2020-05-12 10:02:38.000000 +00:00,10342912,425
139,142,61078319,"",2016-04-20 15:40:40.000000 +00:00,911419,10541
140,142,61022770,"",2016-04-19 12:47:01.000000 +00:00,1251787,2230
141,148,128756419,"",2022-07-07 12:23:09.000000 +00:00,598289,24780
142,149,139789167,"",2024-12-11 22:08:45.000000 +00:00,7891541,11
143,155,51198265,"",2015-07-25 09:57:59.000000 +00:00,2255089,89404
144,155,51195364,"",2015-07-25 06:14:53.000000 +00:00,1265182,9031
145,156,51194015,"",2015-07-25 03:58:44.000000 +00:00,1265182,9031
146,156,51194001,"",2015-07-25 03:57:10.000000 +00:00,683524,1215
147,158,138476177,"",2024-05-29 06:08:06.000000 +00:00,9782531,230
148,159,136404045,"",2023-10-27 10:37:22.000000 +00:00,115145,1005147
149,161,136404046,"",2023-10-27 10:37:33.000000 +00:00,115145,1005147
150,164,129202964,"",2022-07-28 16:25:28.000000 +00:00,1800333,1546
151,164,59571522,"",2016-03-12 13:18:24.000000 +00:00,1429432,5604
152,165,129202921,"",2022-07-28 16:23:36.000000 +00:00,1800333,1546
153,166,121430046,"",2021-08-09 10:43:52.000000 +00:00,4284627,8821
154,166,119869806,"",2021-06-03 07:42:05.000000 +00:00,13743303,315
155,169,127383648,"",2022-05-03 01:15:06.000000 +00:00,11960598,6239
156,170,121053099,"",2021-07-23 08:17:54.000000 +00:00,2014374,1096
157,170,121042087,"",2021-07-22 18:10:27.000000 +00:00,63550,31587
158,171,122931082,"",2021-10-13 02:43:49.000000 +00:00,539651,1120
159,171,46546772,"",2015-03-20 10:00:10.000000 +00:00,4588760,8764
160,173,83607023,"",2018-01-17 21:56:50.000000 +00:00,3286489,59677
161,173,83607003,"",2018-01-17 21:56:03.000000 +00:00,3286489,59677
162,179,121042194,"",2021-07-22 18:15:45.000000 +00:00,63550,31587
163,179,105256424,"",2019-12-31 11:53:42.000000 +00:00,2413303,81350
164,181,107236711,"",2020-03-10 08:42:58.000000 +00:00,944593,9581
165,181,103509311,"",2019-10-28 21:04:49.000000 +00:00,250260,126337
166,181,102256521,"",2019-09-13 07:41:55.000000 +00:00,10553536,601
167,184,121041912,"",2021-07-22 18:01:41.000000 +00:00,63550,31587
168,189,131622049,"",2022-11-24 19:10:25.000000 +00:00,4180447,900
169,189,131619879,"",2022-11-24 16:50:21.000000 +00:00,8886529,1028
170,189,131608383,"",2022-11-24 07:25:00.000000 +00:00,4180447,900
171,189,109523548,"",2020-05-20 21:37:43.000000 +00:00,1598568,1422
172,195,70403412,"",2017-01-11 20:42:43.000000 +00:00,4418511,508
173,196,24215335,"",2013-05-28 21:08:02.000000 +00:00,669527,5139
174,197,29772205,"",2013-11-15 08:30:53.000000 +00:00,510036,15043
175,197,29696793,"",2013-11-13 12:03:46.000000 +00:00,350685,10548
176,197,29691647,"",2013-11-13 09:33:35.000000 +00:00,510036,15043
177,198,86257814,"",2018-04-03 08:25:09.000000 +00:00,576660,2386
178,198,73207344,"",2017-03-28 05:56:03.000000 +00:00,664811,184
179,198,68323232,"",2016-11-11 06:23:11.000000 +00:00,4022132,725
180,198,67003363,"",2016-10-04 16:47:39.000000 +00:00,5280345,132
181,198,45245123,"",2015-02-11 16:32:39.000000 +00:00,108554,1158
182,202,89157356,"",2018-06-28 13:43:52.000000 +00:00,178526,36078
183,202,70393742,"",2017-01-11 16:05:42.000000 +00:00,555177,10707
184,202,60132531,"",2016-03-27 19:09:14.000000 +00:00,2451425,1356
185,202,55855258,"",2015-12-02 18:35:22.000000 +00:00,1422630,3985
186,202,45648091,"",2015-02-23 15:43:41.000000 +00:00,1763035,12919
